id;name;staticDataUrl;dynamicDataUrl;limitedAccess;uuid;latitude;longitude;city;country_code;province;region;mark;usage;accessPoints;capacity;contactPersons;minimumHeightInMeters;openingTimes;tariffs;Operator
3943;P+R, Leeuwenveldseweg, Weesp (Weesp);https://npropendata.rdw.nl//parkingdata/v2/static/2689d021-fb4b-4f02-8143-fd97339719a3;;0;2689d021-fb4b-4f02-8143-fd97339719a3;52.3131131;5.0435280982147;Weesp;nl;Noord-Holland;Noordwest-Nederland;good;park and ride;1;374;1;0;1;1;Nederlandse Spoorwegen
3946;P+R Station Terborg, Stationsweg, Terborg (Oude IJsselstreek);https://npropendata.rdw.nl//parkingdata/v2/static/f1e1883a-ff59-47c7-a06c-6e4ffee4c6d1;;0;f1e1883a-ff59-47c7-a06c-6e4ffee4c6d1;51.9223952;6.3637165;Oude IJsselstreek;nl;Gelderland;Oost-Nederland;good;park and ride;1;15;0;0;1;1;Nederlandse Spoorwegen
3947;P+R Eerste Oude Heselaan (Nijmegen);https://npropendata.rdw.nl//parkingdata/v2/static/85d7e2a6-5985-401b-b4be-4665bf247d83;https://npropendata.rdw.nl//parkingdata/v2/dynamic/85d7e2a6-5985-401b-b4be-4665bf247d83;1;85d7e2a6-5985-401b-b4be-4665bf247d83;51.8449826;5.8493183;Nijmegen;nl;Gelderland;Oost-Nederland;good;park and ride;1;267;1;0;1;0;Q-Park Nederland BV
3948;P + R Station Kruiningen-Yerseke, Stationsweg, Kruiningen (Riemerswaal);https://npropendata.rdw.nl//parkingdata/v2/static/04fa8bd1-cf22-4187-bb62-40fd100e8178;;0;04fa8bd1-cf22-4187-bb62-40fd100e8178;51.4649277;4.0368965208844;Reimerswaal;nl;Zeeland;Zuidwest-Nederland;good;park and ride;1;160;1;0;1;1;Nederlandse Spoorwegen
3960;P+R Station Maastricht Randwyck Westzijde (Maastricht);https://npropendata.rdw.nl//parkingdata/v2/static/a224efde-3233-448a-8be7-92d9b7642758;;0;a224efde-3233-448a-8be7-92d9b7642758;50.8374949;5.71766145;Maastricht;nl;Limburg;Zuid-Nederland;good;park and ride;1;14;1;0;1;1;Maastricht
3961;P+R Station Maarn (Maarn);https://npropendata.rdw.nl//parkingdata/v2/static/1480e83a-5e4b-412a-afbf-a6badddd0254;;0;1480e83a-5e4b-412a-afbf-a6badddd0254;52.0618673;5.37475;Utrechtse Heuvelrug;nl;Utrecht;Noordwest-Nederland;good;park and ride;1;24;0;0;1;1;Utrechtse Heuvelrug
3971;P+R Station Zaltbommel, Oude Stationsweg (Zaltbommel);https://npropendata.rdw.nl//parkingdata/v2/static/08f5594b-c0da-467d-9a5c-f45f6a7f07e6;;0;08f5594b-c0da-467d-9a5c-f45f6a7f07e6;51.8075696;5.2623446;Zaltbommel;nl;Gelderland;Oost-Nederland;good;park and ride;1;168;0;0;1;1;Nederlandse Spoorwegen
3975;P+R Station Wierden;https://npropendata.rdw.nl//parkingdata/v2/static/e6f83f8b-044a-49f6-abea-da4796d20df0;;0;e6f83f8b-044a-49f6-abea-da4796d20df0;52.3612302;6.5900002406394;Wierden;nl;Overijssel;Oost-Nederland;good;park and ride;1;75;0;0;1;1;Nederlandse Spoorwegen
3977;P+R Station Stedum, Stationstraat, Stedum (Loppersum);https://npropendata.rdw.nl//parkingdata/v2/static/3bde4800-6b71-483a-b6cf-56611d04c6e1;;0;3bde4800-6b71-483a-b6cf-56611d04c6e1;53.3263709;6.6881223;Loppersum;nl;Groningen;Noord-Nederland;good;park and ride;1;7;0;0;1;1;Nederlandse Spoorwegen
3979;P+R Station Zoetermeer (Zoetermeer);https://npropendata.rdw.nl//parkingdata/v2/static/e135ec83-e25e-45b1-8aea-4678cf483bdc;;0;e135ec83-e25e-45b1-8aea-4678cf483bdc;52.046749715421;4.4733600870746;Zoetermeer;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;537;0;0;1;1;Nederlandse Spoorwegen
