id;name;staticDataUrl;dynamicDataUrl;limitedAccess;uuid;latitude;longitude;city;country_code;province;region;mark;usage;accessPoints;capacity;contactPersons;minimumHeightInMeters;openingTimes;tariffs;Operator
1341;Morspoort;https://npropendata.rdw.nl//parkingdata/v2/static/6b59640f-b895-482c-8ebd-430e364a0aa5;;0;6b59640f-b895-482c-8ebd-430e364a0aa5;52.16236175;4.480733630202;Leiden;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;397;1;2.1;1;1;Leiden
1406;Garage Markt (Delft);https://npropendata.rdw.nl//parkingdata/v2/static/c4172abb-8ad1-446a-8c35-ddb310d1a0f9;https://npropendata.rdw.nl//parkingdata/v2/dynamic/c4172abb-8ad1-446a-8c35-ddb310d1a0f9;0;c4172abb-8ad1-446a-8c35-ddb310d1a0f9;52.01431405;4.36627316002;Delft;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;339;1;2.2;1;1;Delft
1412;Garage Riedijkshaven (Dordrecht);https://npropendata.rdw.nl//parkingdata/v2/static/5b3d8f1d-67f8-499e-a35c-92f3b181bfa1;;0;5b3d8f1d-67f8-499e-a35c-92f3b181bfa1;51.817879;4.6765956;Dordrecht;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;46;1;2;1;1;Dordrecht
1431;Parkeergarage Kazerneplein;https://npropendata.rdw.nl//parkingdata/v2/static/7a5f86eb-e437-48c0-a32e-ba2643bc475e;;0;7a5f86eb-e437-48c0-a32e-ba2643bc475e;51.8296781;4.9701058;Gorinchem;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;385;1;2;1;1;UNKNOWN
1455;P+R Ridderkerk Oostendam (Ridderkerk);https://npropendata.rdw.nl//parkingdata/v2/static/a78cd84b-8226-44bc-8149-dd32b2959f6a;;0;a78cd84b-8226-44bc-8149-dd32b2959f6a;51.8594868;4.627516;Ridderkerk;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;40;1;2.1;1;1;Ridderkerk
1470;Carpool Hoorn-Noord A7 (Zwaag);https://npropendata.rdw.nl//parkingdata/v2/static/c950fefb-30a0-46d1-882b-76fa350b9f1d;;0;c950fefb-30a0-46d1-882b-76fa350b9f1d;52.6701395;5.041835324279;Hoorn;nl;Noord-Holland;Noordwest-Nederland;good;carpool;1;34;1;1.95;1;1;Hoorn
1485;Garage Colosseumweg;https://npropendata.rdw.nl//parkingdata/v2/static/31938897-d183-426d-ad6b-0c613a147cea;http://opendata.technolution.nl/opendata/parkingdata/v1/dynamic/31938897-d183-426d-ad6b-0c613a147cea;0;31938897-d183-426d-ad6b-0c613a147cea;51.8969643;4.5114088;Rotterdam;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;203;1;1.9;1;1;Rotterdam
1486;Garage Meent;https://npropendata.rdw.nl//parkingdata/v2/static/48383bbe-e212-4903-bfd2-440846d80059;;0;48383bbe-e212-4903-bfd2-440846d80059;51.9241816;4.4823924;Rotterdam;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;548;1;1.9;1;1;Rotterdam
1487;Garage Kiphof;https://npropendata.rdw.nl//parkingdata/v2/static/dc96d900-8446-4e99-8a09-dd60da167fc8;http://opendata.technolution.nl/opendata/parkingdata/v1/dynamic/dc96d900-8446-4e99-8a09-dd60da167fc8;0;dc96d900-8446-4e99-8a09-dd60da167fc8;51.9217585;4.4924057;Rotterdam;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;339;1;1.9;1;1;Rotterdam
1498;Parkeerdak Hoogvliet;https://npropendata.rdw.nl//parkingdata/v2/static/674ceff0-96c2-4ecc-85fb-6fd52783deb3;;0;674ceff0-96c2-4ecc-85fb-6fd52783deb3;52.1278622;4.6610183;Alphen aan den Rijn;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;48;1;1.9;0;1;Alphen aan den Rijn
1517;Parkeergarage Brouwerij;https://npropendata.rdw.nl//parkingdata/v2/static/335d508f-cb75-480d-b034-b30f128fccce;;0;335d508f-cb75-480d-b034-b30f128fccce;52.2321133;6.8905443614195;Enschede;nl;Overijssel;Oost-Nederland;good;garage;1;70;1;2;1;1;Enschede
1531;Parkeergarage Achterom;https://npropendata.rdw.nl//parkingdata/v2/static/01e2fd1b-550b-40e1-b9fe-5373a15d88a0;;0;01e2fd1b-550b-40e1-b9fe-5373a15d88a0;51.8120914;4.666674;Dordrecht;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;370;1;2.1;1;1;Dordrecht
1545;Garage Cronjé (Haarlem);https://npropendata.rdw.nl//parkingdata/v2/static/7874dbfe-fed1-4f45-a24b-72531d5be736;;0;7874dbfe-fed1-4f45-a24b-72531d5be736;52.3939298;4.6387205129803;Haarlem;nl;Noord-Holland;Noordwest-Nederland;good;garage;1;400;1;2.1;1;1;Haarlem
1546;Parkeergarage De Beurs (Hengelo);https://npropendata.rdw.nl//parkingdata/v2/static/34e3978f-2883-4763-9407-4b293fabebe0;;0;34e3978f-2883-4763-9407-4b293fabebe0;52.2638811;6.7953476021112;Hengelo;nl;Overijssel;Oost-Nederland;good;garage;1;315;1;2;1;1;Hengelo
1547;Garage Tramstraat (Katwijk);https://npropendata.rdw.nl//parkingdata/v2/static/e1390cc1-3862-4e0c-88f9-de60e45a8550;;0;e1390cc1-3862-4e0c-88f9-de60e45a8550;52.2044108;4.3981003;Katwijk;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;125;1;2.05;1;1;Katwijk
1551;Garage Raaks (Haarlem);https://npropendata.rdw.nl//parkingdata/v2/static/22807760-eec0-4275-9b17-ae5dde2240bc;;0;22807760-eec0-4275-9b17-ae5dde2240bc;52.381562;4.6289864;Haarlem;nl;Noord-Holland;Noordwest-Nederland;good;garage;1;960;1;2;1;1;Haarlem
1569;Garage De Geere (Middelburg);https://npropendata.rdw.nl//parkingdata/v2/static/9fc01af6-e44c-4431-8113-b42ff83af102;;0;9fc01af6-e44c-4431-8113-b42ff83af102;51.4963826;3.6093751262784;Middelburg;nl;Zeeland;Zuidwest-Nederland;good;garage;1;302;1;2;1;1;Middelburg
1570;Garage Kousteensedijk (Middelburg);https://npropendata.rdw.nl//parkingdata/v2/static/67119b14-972e-4404-95cc-7082438a8357;;0;67119b14-972e-4404-95cc-7082438a8357;51.4954561;3.614618;Middelburg;nl;Zeeland;Zuidwest-Nederland;good;garage;1;257;1;1.95;1;1;Middelburg
1589;Garage Schuttershof (Terneuzen);https://npropendata.rdw.nl//parkingdata/v2/static/fe6d6e4c-9b29-464e-8fa8-3ba4a98a8375;;0;fe6d6e4c-9b29-464e-8fa8-3ba4a98a8375;51.3331045;3.8275251;Terneuzen;nl;Zeeland;Zuidwest-Nederland;good;garage;1;177;1;2.05;1;1;Terneuzen
1602;Garage Blokhuis (Lisse);https://npropendata.rdw.nl//parkingdata/v2/static/dc6e3dc0-92e1-4ee3-8c45-9e9618642aa6;;0;dc6e3dc0-92e1-4ee3-8c45-9e9618642aa6;52.2610769;4.5588835;Lisse;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;304;1;2.1;1;1;Lisse
1612;Parkeergarage Overtoom;https://npropendata.rdw.nl//parkingdata/v2/static/710bc845-fbad-4513-bf0e-0f7c9cacf336;;0;710bc845-fbad-4513-bf0e-0f7c9cacf336;51.8249271;4.6862965;Papendrecht;nl;Zuid-Holland;Zuidwest-Nederland;good;garage;1;135;1;2.1;1;1;Papendrecht
